 fieldname | fieldvalue | fieldcount | isnominal 
-----------+------------+------------+-----------
 exbd23    |      -9999 |       5341 | t
 exbd23    |         -9 |          2 | t
 exbd23    |          2 |          1 | t
 exbd23    |          4 |          1 | t
 exbd23    |          9 |         17 | t
 cam21     |      -9999 |       1328 | t
 cam21     |      -9899 |         36 | t
 cam21     |      -9799 |          1 | t
 cam21     |         -9 |          2 | t
 cam21     |          0 |        212 | t
 cam21     |          1 |       2243 | t
 cam21     |          2 |        872 | t
 cam21     |          3 |        668 | t
 cam22     |      -9999 |       3781 | t
 cam22     |         -9 |          2 | t
 cam22     |          2 |        789 | t
 cam22     |          3 |        790 | t
 cam23     |      -9999 |       4807 | t
 cam23     |         -9 |          2 | t
 cam23     |          3 |        553 | t
 vgd2      |      -9999 |       2199 | t
 vgd2      |         -9 |          2 | t
 vgd2      |          1 |          2 | t
 vgd2      |          2 |         39 | t
 vgd2      |          3 |       2564 | t
 vgd2      |          4 |        556 | t
 vgd3      |      -9999 |       3760 | t
 vgd3      |         -9 |          2 | t
 vgd3      |          3 |         40 | t
 vgd3      |          4 |       1560 | t
 vgd4      |      -9999 |       5336 | t
 vgd4      |         -9 |          2 | t
 vgd4      |          4 |         24 | t
 sik522    |      -9999 |       5156 | t
 sik522    |         -9 |          2 | t
 sik522    |          1 |         58 | t
 sik522    |          2 |         46 | t
 sik522    |          3 |         35 | t
 sik522    |          4 |         65 | t
 sik523    |      -9999 |       5331 | t
 sik523    |         -9 |          2 | t
 sik523    |          2 |          8 | t
 sik523    |          3 |         13 | t
 sik523    |          4 |          8 | t
 sik524    |      -9999 |       5350 | t
 sik524    |         -9 |          2 | t
 sik524    |          3 |          8 | t
 sik524    |          4 |          2 | t
 sik525    |      -9999 |       5358 | t
 sik525    |         -9 |          2 | t
 sik525    |          4 |          2 | t
 mot521    |      -9999 |        741 | t
 mot521    |      -9899 |        330 | t
 mot521    |      -9799 |          3 | t
 mot521    |         -9 |          2 | t
 mot521    |          0 |          2 | t
 mot521    |          1 |        979 | t
 mot521    |          2 |       3164 | t
 mot521    |          3 |        141 | t
 mot522    |      -9999 |       5359 | t
 mot522    |         -9 |          2 | t
 mot522    |          2 |          1 | t
 hab522    |      -9999 |       5151 | t
 hab522    |         -9 |          2 | t
 hab522    |          1 |          1 | t
 hab522    |          2 |         78 | t
 hab522    |          3 |         48 | t
 hab522    |          4 |         82 | t
 hab523    |      -9999 |       5338 | t
 hab523    |         -9 |          2 | t
 hab523    |          2 |          1 | t
 hab523    |          3 |          7 | t
 hab523    |          4 |         14 | t
 hab524    |      -9999 |       5358 | t
 hab524    |         -9 |          2 | t
 hab524    |          3 |          1 | t
 hab524    |          4 |          1 | t
 nab531    |      -9999 |       1134 | t
 nab531    |      -9899 |         36 | t
 nab531    |      -9799 |          3 | t
 nab531    |         -9 |          2 | t
 nab531    |          0 |       3498 | t
 nab531    |          1 |        616 | t
 nab531    |          2 |         17 | t
 nab531    |          3 |         56 | t
 nab532    |      -9999 |       5356 | t
 nab532    |         -9 |          2 | t
 nab532    |          3 |          4 | t
 ale532    |      -9999 |       5358 | t
 ale532    |         -9 |          2 | t
 ale532    |          3 |          2 | t
 niw551    |      -9999 |       1050 | t
 niw551    |      -9899 |         38 | t
 niw551    |         -9 |          2 | t
 niw551    |          0 |       4052 | t
 niw551    |          1 |        159 | t
 niw551    |          2 |         36 | t
 niw551    |          3 |         25 | t
 niw552    |      -9999 |       5359 | t
 niw552    |         -9 |          2 | t
 niw552    |          1 |          1 | t
 hab571    |      -9999 |       1132 | t
 hab571    |      -9899 |         22 | t
 hab571    |         -9 |          2 | t
 hab571    |          0 |       2966 | t
 hab571    |          1 |        224 | t
 hab571    |          2 |        722 | t
 hab571    |          3 |         41 | t
 hab571    |          4 |        253 | t
 hab572    |      -9999 |       5253 | t
 hab572    |         -9 |          2 | t
 hab572    |          1 |          1 | t
 hab572    |          2 |         48 | t
 hab572    |          3 |         25 | t
 hab572    |          4 |         33 | t
 hab573    |      -9999 |       5352 | t
 hab573    |         -9 |          2 | t
 hab573    |          3 |          2 | t
 hab573    |          4 |          6 | t
 abd57     |      -9999 |       1309 | t
 abd57     |      -9899 |         19 | t
 abd57     |      -9799 |       3212 | t
 abd57     |         -9 |          2 | t
 abd57     |          0 |        509 | t
 abd57     |          1 |        256 | t
 abd57     |          2 |         55 | t
 pla521    |      -9999 |        741 | t
 pla521    |      -9899 |        115 | t
 pla521    |      -9799 |       4097 | t
 pla521    |         -9 |          2 | t
 pla521    |          1 |        163 | t
 pla521    |          2 |        170 | t
 pla521    |          3 |         19 | t
 pla521    |          4 |         55 | t
 pla522    |      -9999 |       5345 | t
 pla522    |         -9 |          2 | t
 pla522    |          2 |          2 | t
 pla522    |          3 |          6 | t
 pla522    |          4 |          7 | t
 ene59     |      -9999 |       1253 | t
 ene59     |      -9899 |         64 | t
 ene59     |         -9 |          2 | t
 ene59     |          1 |        281 | t
 ene59     |          2 |       3534 | t
 ene59     |          3 |        227 | t
 ene59     |         23 |          1 | t
 ene591    |      -9999 |       1253 | t
 ene591    |      -9899 |         64 | t
 ene591    |         -9 |          2 | t
 ene591    |          1 |        281 | t
 ene591    |          2 |       3535 | t
 ene591    |          3 |        227 | t
 ene592    |      -9999 |       5359 | t
 ene592    |         -9 |          2 | t
 ene592    |          3 |          1 | t
 anx591    |      -9999 |       1253 | t
 anx591    |      -9899 |         37 | t
 anx591    |         -9 |          2 | t
 anx591    |          0 |       2222 | t
 anx591    |          1 |       1787 | t
 anx591    |          2 |         61 | t
 anx592    |      -9999 |       5359 | t
 anx592    |         -9 |          2 | t
 anx592    |          1 |          1 | t
 habt592   |      -9999 |       5164 | t
 habt592   |         -9 |          2 | t
 habt592   |          2 |         27 | t
 habt592   |          3 |         28 | t
 habt592   |          4 |         31 | t
 habt592   |          5 |         27 | t
 habt592   |          6 |         83 | t
 habt593   |      -9999 |       5326 | t
 habt593   |         -9 |          2 | t
 habt593   |          3 |          4 | t
 habt593   |          4 |          4 | t
 habt593   |          5 |          9 | t
 habt593   |          6 |         17 | t
 habt594   |      -9999 |       5353 | t
 habt594   |         -9 |          2 | t
 habt594   |          4 |          1 | t
 habt594   |          5 |          1 | t
 habt594   |          6 |          5 | t
 habt595   |      -9999 |       5358 | t
 habt595   |         -9 |          2 | t
 habt595   |          6 |          2 | t
 repb523   |      -9999 |       3999 | t
 repb523   |         -9 |          2 | t
 repb523   |          3 |         95 | t
 repb523   |          4 |        111 | t
 repb523   |          6 |         16 | t
 repb523   |          7 |         30 | t
 repb523   |          8 |        865 | t
 repb523   |          9 |        244 | t
 repb524   |      -9999 |       4475 | t
 repb524   |         -9 |          2 | t
 repb524   |          4 |         37 | t
 repb524   |          6 |          1 | t
 repb524   |          7 |          3 | t
 repb524   |          8 |          9 | t
 repb524   |          9 |        835 | t
 ort614    |      -9999 |       5352 | t
 ort614    |         -9 |          2 | t
 ort614    |          5 |          2 | t
 ort614    |          6 |          1 | t
 ort614    |          7 |          2 | t
 ort614    |          8 |          1 | t
 ort614    |          9 |          2 | t
 xrt2      |      -9999 |       5256 | t
 xrt2      |         -9 |          2 | t
 xrt2      |          2 |         14 | t
 xrt2      |          3 |         88 | t
 xrt2      |          6 |          1 | t
 xrt2      |          7 |          1 | t
 xrt3      |      -9999 |       5359 | t
 xrt3      |         -9 |          2 | t
 xrt3      |          3 |          1 | t
 slep501   |      -9999 |          2 | t
 slep501   |      -9899 |        708 | t
 slep501   |      -9799 |       1430 | t
 slep501   |         -9 |          2 | t
 slep501   |          1 |       1269 | t
 slep501   |          2 |       1565 | t
 slep501   |          3 |        161 | t
 slep501   |          4 |        225 | t
 slep502   |      -9999 |       4667 | t
 slep502   |         -9 |          2 | t
